source,target,weight,Type
4684,3107,8,Undirected
4684,1755,9,Undirected
4684,2131,10,Undirected
2146,3029,9,Undirected
2146,3744,9,Undirected
102,2139,33,Undirected
102,1755,19,Undirected
5111,542,17,Undirected
5111,3029,15,Undirected
5111,67,15,Undirected
4937,5064,8,Undirected
4937,1755,9,Undirected
90,2131,23,Undirected
96,2131,27,Undirected
551,2139,46,Undirected
551,3029,28,Undirected
551,1745,18,Undirected
551,2131,35,Undirected
551,1757,20,Undirected
551,1755,24,Undirected
1757,3107,279,Undirected
1757,3256,32,Undirected
1757,813,11,Undirected
1757,2858,13,Undirected
1757,1661,13,Undirected
1757,525,107,Undirected
1757,1014,33,Undirected
1757,3896,9,Undirected
1757,3895,12,Undirected
1757,1887,15,Undirected
1757,2081,14,Undirected
1757,3111,37,Undirected
1757,569,15,Undirected
1757,2535,19,Undirected
1757,759,149,Undirected
1757,2154,9,Undirected
1757,2152,15,Undirected
1757,4048,11,Undirected
1757,3906,12,Undirected
1757,1879,19,Undirected
1757,1133,49,Undirected
1757,3741,42,Undirected
1757,1432,11,Undirected
1757,738,69,Undirected
1757,3087,130,Undirected
1757,3081,148,Undirected
1757,2622,10,Undirected
1757,3085,15,Undirected
1757,3119,43,Undirected
1757,3882,20,Undirected
1757,3905,11,Undirected
1757,751,31,Undirected
1757,5214,24,Undirected
1757,260,16,Undirected
1757,770,75,Undirected
1757,773,25,Undirected
1757,70,32,Undirected
1757,2716,9,Undirected
1757,2524,60,Undirected
1757,3128,18,Undirected
1757,3129,13,Undirected
1757,3126,24,Undirected
1757,540,282,Undirected
1757,545,54,Undirected
1757,1316,9,Undirected
1757,2147,28,Undirected
1757,2144,8,Undirected
1757,2142,98,Undirected
1757,2149,25,Undirected
1757,784,13,Undirected
1757,1647,9,Undirected
1757,781,11,Undirected
1757,764,22,Undirected
1757,2136,91,Undirected
1757,3619,20,Undirected
1757,64,43,Undirected
1757,65,200,Undirected
1757,730,84,Undirected
1757,736,10,Undirected
1757,3727,20,Undirected
1757,2516,12,Undirected
1757,5058,15,Undirected
1757,1891,38,Undirected
1757,3916,19,Undirected
1757,5209,13,Undirected
1757,4423,8,Undirected
1757,5064,28,Undirected
1757,3325,43,Undirected
1757,3326,18,Undirected
1757,5514,11,Undirected
1757,60,110,Undirected
1757,2497,38,Undirected
1757,537,53,Undirected
1757,531,135,Undirected
1757,1980,11,Undirected
1757,568,16,Undirected
1757,754,13,Undirected
1757,3073,116,Undirected
1757,722,55,Undirected
1757,994,18,Undirected
1757,2137,13,Undirected
1757,3736,8,Undirected
1757,1897,12,Undirected
1757,2131,279,Undirected
1757,3100,48,Undirected
1757,3103,18,Undirected
1757,2503,35,Undirected
1755,3748,10,Undirected
1755,3744,42,Undirected
1755,3087,202,Undirected
1755,3221,20,Undirected
1755,1961,13,Undirected
1755,3352,9,Undirected
1755,768,149,Undirected
1755,542,282,Undirected
1755,545,93,Undirected
1755,251,18,Undirected
1755,2519,11,Undirected
1755,2516,20,Undirected
1755,5058,21,Undirected
1755,2846,10,Undirected
1755,3325,74,Undirected
1755,3326,31,Undirected
1755,3038,98,Undirected
1755,3034,13,Undirected
1755,537,74,Undirected
1755,531,211,Undirected
1755,1976,9,Undirected
1755,3033,91,Undirected
1755,2503,53,Undirected
1755,2501,12,Undirected
1755,3250,24,Undirected
1755,3254,9,Undirected
1755,810,13,Undirected
1755,813,10,Undirected
1755,3029,279,Undirected
1755,525,157,Undirected
1755,2701,8,Undirected
1755,2087,14,Undirected
1755,2531,60,Undirected
1755,2535,30,Undirected
1755,3249,49,Undirected
1755,3242,14,Undirected
1755,3309,22,Undirected
1755,1133,76,Undirected
1755,1006,10,Undirected
1755,3905,12,Undirected
1755,3906,11,Undirected
1755,5066,28,Undirected
1755,1824,9,Undirected
1755,3275,24,Undirected
1755,3271,11,Undirected
1755,784,14,Undirected
1755,785,8,Undirected
1755,781,18,Undirected
1755,60,165,Undirected
1755,64,68,Undirected
1755,67,200,Undirected
1755,3913,9,Undirected
1755,3918,19,Undirected
1755,2601,10,Undirected
1755,3265,31,Undirected
1755,3267,8,Undirected
1755,3266,32,Undirected
1755,3269,22,Undirected
1755,751,48,Undirected
1755,756,10,Undirected
1755,754,24,Undirected
1755,758,8,Undirected
1755,3073,167,Undirected
1755,1021,33,Undirected
1755,3104,12,Undirected
1755,3106,10,Undirected
1755,3100,64,Undirected
1755,3103,28,Undirected
1755,3589,8,Undirected
1755,4425,8,Undirected
1755,2614,9,Undirected
1755,3298,11,Undirected
1755,747,10,Undirected
1755,3119,68,Undirected
1755,3115,279,Undirected
1755,3111,48,Undirected
1755,2284,8,Undirected
1755,1877,27,Undirected
1755,1873,32,Undirected
1755,1879,39,Undirected
1755,863,8,Undirected
1755,5216,24,Undirected
1755,770,114,Undirected
1755,773,35,Undirected
1755,70,63,Undirected
1755,3027,11,Undirected
1755,3128,21,Undirected
1755,3129,14,Undirected
1755,3126,34,Undirected
1755,3280,18,Undirected
1755,4058,11,Undirected
1755,3724,25,Undirected
1755,3727,30,Undirected
1755,2634,10,Undirected
1755,5209,14,Undirected
1755,766,9,Undirected
1755,764,26,Undirected
1755,3042,28,Undirected
1755,3044,25,Undirected
1755,3047,15,Undirected
1755,3130,11,Undirected
1755,1414,8,Undirected
1755,1329,9,Undirected
1755,1894,38,Undirected
1755,3736,12,Undirected
1755,3552,8,Undirected
1755,1664,13,Undirected
1755,3144,9,Undirected
1755,3096,14,Undirected
1755,3896,10,Undirected
1755,3895,14,Undirected
1755,1887,22,Undirected
1755,1656,12,Undirected
1755,3155,19,Undirected
1755,3085,20,Undirected
1755,3081,197,Undirected
1755,3882,28,Undirected
1755,3621,20,Undirected
1755,3719,22,Undirected
1755,994,27,Undirected
1755,2066,9,Undirected
1755,1644,14,Undirected
1755,1647,13,Undirected
1755,730,101,Undirected
1755,736,16,Undirected
1755,738,114,Undirected
1755,1897,16,Undirected
1755,263,16,Undirected
1755,2490,41,Undirected
1755,2497,48,Undirected
1755,3223,16,Undirected
1755,1986,11,Undirected
