Rumor Claim	URL	Number of Cascades	Number of Tweets	Number of Users	Collected From	Collected By
For many months, President Donald Trump, his White House staff and his personal attorneys, Michael Cohen and Rudy Giuliani, repeatedly made false, misleading and contradictory statements about illegal payments that were made during the 2016 campaign to silence two women who claimed to have extramarital affairs with Trump.	https://www.factcheck.org/2018/08/cohen-plea-deal-exposes-repeated-false-claims/	85	176	169	2018-08-22	2018-09-16
Says "96 percent of (Google News) results on ‘Trump News’ are from National Left-Wing Media."	https://www.politifact.com/truth-o-meter/statements/2018/aug/29/donald-trump/no-96-google-news-stories-trump-arent-left-wing-ou/	78	384	373	2018-08-28	2018-09-12
"Someone can write an article or book, totally make up stories and form a picture of a person that is literally the exact opposite of the fact, and get away with it without retribution or cost. Don’t know why Washington politicians don’t change libel laws?"	https://www.politifact.com/truth-o-meter/statements/2018/sep/05/donald-trump/donald-trump-inaccurately-describes-libel-law/	43	134	132	2018-09-05	2018-09-30
Says Andrew Gillum has a "far left socialist platform."	https://www.politifact.com/florida/statements/2018/sep/06/ron-desantis/no-floridas-andrew-gillum-not-socialist/	32	285	266	2018-08-29	2018-09-21
"We’re making (Medicare) stronger. We’re making Social Security stronger."	https://www.politifact.com/truth-o-meter/statements/2018/sep/06/donald-trump/donald-trump-wrongly-says-social-security-and-medi/	120	971	915	2018-09-06	2018-09-21
Says at his confirmation hearing Brett Kavanaugh said birth control methods could be considered "abortion-inducing drugs."	https://www.politifact.com/truth-o-meter/statements/2018/sep/10/kamala-harris/brett-kavanaugh-birth-control-abortion-inducing/	179	935	880	2018-09-06	2018-10-01
In a pair of tweets, President Donald Trump pushed back at former President Barack Obama for taking partial credit for the post-recession economic recovery. But, in doing so, Trump got the facts wrong.	https://www.factcheck.org/2018/09/trumps-bungled-twitter-attack-on-obama/	78	157	149	2018-09-10	2018-10-01
In a pair of early morning tweets, President Donald Trump rejected Puerto Rico’s official estimate of 2,975 hurricane-related deaths after Hurricane Maria and, in the process, made some false and misleading claims.	https://www.factcheck.org/2018/09/trumps-false-tweets-on-hurricane-marias-death-toll/	65	645	622	2018-09-13	2018-09-27
Says the Trump administration transferred $10 million from FEMA to ICE.	https://www.politifact.com/truth-o-meter/statements/2018/sep/13/jeff-merkley/yes-10-million-were-transferred-fema-ice/	86	149	143	2018-09-12	2018-09-30
Says a Josh Hawley lawsuit "would take away important prescription drug coverage for seniors through Medicare and end all of the consumer protections under the ACA."	https://www.politifact.com/missouri/statements/2018/sep/13/claire-mccaskill/mccaskills-right-hawleys-lawsuit-would-end-afforda/	54	130	115	2018-06-15	2018-10-01
Scott Wallace wants to tax families of five for 'irresponsible breeding'	https://www.politifact.com/pennsylvania/statements/2018/sep/14/national-republican-congressional-committee/no-congressional-candidate-scott-wallace-does-not-/	26	93	59	2018-08-31	2018-09-26
President Donald Trump on several occasions has taken credit for making Medicare “stronger.” In one instance, he said, “Medicare will be $700 billion stronger over the next decade thanks to our growth.” In fact, Medicare’s finances have worsened since he took office.	https://www.factcheck.org/2018/09/trumps-fuzzy-medicare-math/	46	102	100	2018-09-20	2018-09-27
Says Richard Cordray’s "plan would allow drug dealers to remain on our streets."	https://www.politifact.com/ohio/statements/2018/sep/26/mike-dewine/mike-dewine-misleads-about-issue-1-drug-amendment-/	71	429	289	2018-09-26	2018-10-02
At the NATO summit in Brussels, President Donald Trump made several false statements about the defense spending of the member countries.	https://www.factcheck.org/2018/07/trumps-false-claims-at-nato/	14	133	132	2018-07-18	2018-09-12
"U.S. Steel just announced that they are building six new steel mills."	https://www.politifact.com/truth-o-meter/statements/2018/aug/02/donald-trump/us-steel-not-opening-six-new-mills-donald-trump/	38	748	719	2018-08-02	2018-10-01
"Hospitals are closing in rural America because they don't have access to high-speed internet."	https://www.politifact.com/truth-o-meter/statements/2018/aug/15/marsha-blackburn/blackburn-broadband-lack-closed-rural-hospitals-it/	9	103	95	2018-08-15	2018-09-02
"Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible."	https://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-base-describing-gdp-growth-his-watch/	70	95	86	2018-08-11	2018-10-01
Chocolate is on track to go extinct in 40 years.	https://www.snopes.com/fact-check/chocolate-extinct-40-years/	282	450	395	2018-03-01	2018-09-28
A video of President Donald Trump apparently struggling to get the words right while singing along with the national anthem proves that he doesn't know what they are.	https://www.snopes.com/fact-check/trump-words-national-anthem/	302	15796	15260	2018-01-09	2018-09-26
Charles and Elizabeth Koch contributed nearly $500,000 to Paul Ryan’s fundraising committee after successfully passing the GOP tax plan in the United States House of Representatives.	https://www.snopes.com/fact-check/kochs-contributed-ryan-after-tax/	65	161	149	2018-01-24	2018-09-11
A priest with HIV who raped children was exonerated by the Catholic Church and then crucified.	https://www.snopes.com/fact-check/pedophile-priest-crucified/	47	259	241	2018-02-02	2018-08-30
Armed Trump supporters protesting immigration demanded to know if a Native American legislator is in the United States "legally."	https://www.snopes.com/fact-check/trump-supporters-navajo-legislator-legal/	90	177	169	2018-03-11	2018-09-05
Adam Schiff's sister Melissa was married to George Soros's son, Robert.	https://www.snopes.com/fact-check/adam-schiffs-sister-was-married-to-george-soros-son/	132	598	534	2018-01-28	2018-09-27
A video shows President Trump's hair getting blown in the wind.	https://www.snopes.com/fact-check/trumps-hair-filmed-blowing-wind/	316	628	593	2018-02-09	2018-10-02
An image shows Nancy Pelosi's mansion in San Francisco and the large wall that protects the estate.	https://www.snopes.com/fact-check/is-this-a-wall-around-nancy-pelosis-home/	59	324	317	2018-03-08	2018-09-29
